route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
777,48686.126106,670294,,,,23714,48686,0,0
777,48686.126106,670295,,,,23714,48686,0,0
777,48686.126106,670296,,,,23714,48686,0,0
777,48686.126106,670297,,,,23714,48686,0,0
777,48686.126106,670298,,,,23714,48686,0,0
777,48686.126106,670299,,,,23714,48686,0,0
777,48686.126106,670300,,,,23714,48686,0,0
777,48686.126106,670301,,,,23714,48686,0,0
777,48686.126106,670302,,,,23714,48686,0,0
777,48686.126106,670303,,,,23714,48686,0,0
777,48686.126106,671177,,,,23714,48686,0,0
777,48686.126106,670305,,,,23715,48686,0,0
777,48686.126106,670306,,,,23715,48686,0,0
777,48686.126106,670307,,,,23715,48686,0,0
777,48686.126106,670308,,,,23715,48686,0,0
777,48686.126106,670309,,,,23715,48686,0,0
777,48686.126106,670310,,,,23715,48686,0,0
777,48686.126106,670311,,,,23715,48686,0,0
777,48686.126106,670312,,,,23715,48686,0,0
777,48686.126106,670313,,,,23715,48686,0,0
777,48686.126106,670314,,,,23715,48686,0,0
777,48686.126106,670315,,,,23715,48686,0,0
777,48686.126109,670318,,,,23714,48686,0,0
777,48686.126109,670319,,,,23715,48686,0,0
777,48686.126109,670320,,,,23714,48686,0,0
777,48686.126109,670322,,,,23715,48686,0,0
777,48686.126109,670324,,,,23715,48686,0,0
778,48152.124657,661197,,,,23266,48152,0,0
778,48152.124657,661198,,,,23266,48152,0,0
778,48152.124657,661199,,,,23266,48152,0,0
778,48152.124657,661200,,,,23266,48152,0,0
778,48152.124657,661201,,,,23266,48152,0,0
778,48152.124657,661203,,,,23266,48152,0,0
778,48152.124657,661204,,,,23266,48152,0,0
778,48152.124657,664485,,,,23271,48152,0,0
778,48152.124657,661205,,,,23267,48152,0,0
778,48152.124657,661206,,,,23267,48152,0,0
778,48152.124657,661207,,,,23267,48152,0,0
778,48152.124657,661208,,,,23267,48152,0,0
778,48152.124657,661210,,,,23268,48152,0,0
778,48152.124657,661211,,,,23268,48152,0,0
778,48152.124657,661212,,,,23268,48152,0,0
778,48152.124657,661213,,,,23268,48152,0,0
778,48152.124657,661214,,,,23268,48152,0,0
778,48152.124657,661215,,,,23268,48152,0,0
778,48152.124657,661216,,,,23268,48152,0,0
778,48152.124657,661217,,,,23269,48152,0,0
778,48152.124657,661218,,,,23269,48152,0,0
778,48152.124657,661219,,,,23269,48152,0,0
778,48152.124657,661220,,,,23269,48152,0,0
778,48152.124657,661221,,,,23269,48152,0,0
778,48152.124663,661223,,,,23270,48152,0,0
778,48152.124663,661224,,,,23270,48152,0,0
778,48152.124663,661225,,,,23270,48152,0,0
778,48152.124663,661226,,,,23270,48152,0,0
778,48152.124663,661227,,,,23270,48152,0,0
778,48152.124663,661228,,,,23270,48152,0,0
778,48152.124663,661229,,,,23270,48152,0,0
778,48152.124663,661309,,,,23272,48152,0,0
778,48152.124663,661316,,,,23272,48152,0,0
778,48152.124663,661317,,,,23272,48152,0,0
778,48152.124663,661318,,,,23272,48152,0,0
778,48152.124663,661319,,,,23272,48152,0,0
778,48152.124663,661320,,,,23272,48152,0,0
778,48686.126109,670450,,,,23729,48152,0,0
778,48686.126106,670612,,,,23729,48152,0,0
778,48686.126106,670613,,,,23729,48152,0,0
778,48686.126106,670614,,,,23729,48152,0,0
778,48686.126106,670615,,,,23729,48152,0,0
778,48686.126106,670616,,,,23729,48152,0,0
783,48686.126106,670332,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670333,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670334,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670335,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670336,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670337,Crimson Cruiser,,,23716,48688,0,0
783,48686.126106,670338,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,670339,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,670340,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671430,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671431,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671432,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671433,Crimson Cruiser,,,23717,48688,0,0
783,48686.126106,671434,Crimson Cruiser,,,23717,48688,0,0
783,48152.124657,670358,Crimson Cruiser,,,23718,48688,0,0
783,48152.124657,670359,Crimson Cruiser,,,23718,48688,0,0
783,48152.124657,670360,Crimson Cruiser,,,23718,48688,0,0
783,48152.124657,670361,Crimson Cruiser,,,23718,48688,0,0
783,48152.124657,671394,Crimson Cruiser,,,23718,48688,0,0
2021,48152.124657,259106,HUIT,,,7293,20415,0,0
2021,48152.124657,259107,HUIT,,,7293,20415,0,0
2021,48152.124657,259108,HUIT,,,7293,20415,0,0
2021,48152.124657,259109,HUIT,,,7293,20415,0,0
2021,48152.124657,259110,HUIT,,,7293,20415,0,0
2021,48152.124657,259111,HUIT,,,7293,20415,0,0
2021,48152.124657,259112,HUIT,,,7293,20415,0,0
2021,48152.124657,259113,HUIT,,,7293,20415,0,0
2021,48152.124657,259114,HUIT,,,7293,20415,0,0
2021,48152.124657,234461,HUIT,,0,7293,17907,0,0
2021,48152.124657,234462,HUIT,,0,7293,17907,0,0
2021,48152.124657,234463,HUIT,,0,7293,17907,0,0
2021,48152.124657,234464,HUIT,,0,7293,17907,0,0
2021,48152.124657,234465,HUIT,,0,7293,17907,0,0
2021,48152.124657,234466,HUIT,,0,7293,17907,0,0
2021,48152.124657,234467,HUIT,,0,7293,17907,0,0
2021,48152.124657,234468,HUIT,,0,7293,17907,0,0
2021,48152.124657,234469,HUIT,,0,7293,17907,0,0
2021,48152.124657,234470,HUIT,,0,7293,17907,0,0
2021,48152.124657,234471,HUIT,,0,7293,17907,0,0
2021,48152.124657,234472,HUIT,,0,7293,17907,0,0
2021,48152.124657,234473,HUIT,,0,7293,17907,0,0
789,48152.124663,661307,,,,23271,48167,0,0
789,48152.124663,661308,,,,23271,48167,0,0
789,48152.124663,670371,,,,23719,48167,0,0
789,48152.124663,670372,,,,23719,48167,0,0
789,48152.124663,670373,,,,23719,48167,0,0
789,48152.124663,670374,,,,23719,48167,0,0
789,48152.124663,670375,,,,23719,48167,0,0
789,48152.124663,670376,,,,23719,48167,0,0
789,48152.124663,670377,,,,23719,48167,0,0
789,48152.124663,670378,,,,23719,48167,0,0
789,48152.124663,670379,,,,23719,48167,0,0
789,48152.124663,670380,,,,23719,48167,0,0
789,48152.124663,670381,,,,23719,48167,0,0
789,48152.124663,670382,,,,23719,48167,0,0
789,48152.124663,670383,,,,23719,48167,0,0
789,48152.124663,670384,,,,23719,48167,0,0
789,48152.124663,670385,,,,23719,48167,0,0
789,48152.124663,670386,,,,23719,48167,0,0
789,48152.124663,670387,,,,23719,48167,0,0
789,48152.124663,670388,,,,23719,48167,0,0
789,48152.124663,670389,,,,23719,48167,0,0
789,48152.124663,670390,,,,23719,48167,0,0
789,48152.124663,670391,,,,23718,48167,0,0
789,48152.124663,670392,,,,23718,48167,0,0
789,48152.124663,670393,,,,23718,48167,0,0
789,48152.124663,670394,,,,23718,48167,0,0
789,48152.124663,670395,,,,23719,48167,0,0
785,17907,661285,,,,23270,48165,0,0
785,17907,661286,,,,23270,48165,0,0
785,17907,661287,,,,23270,48165,0,0
785,17907,661288,,,,23270,48165,0,0
785,17907,661289,,,,23270,48165,0,0
785,17907,661321,,,,23272,48165,0,0
785,17907,661322,,,,23272,48165,0,0
785,17907,661323,,,,23780,48165,0,0
785,17907,661324,,,,23780,48165,0,0
785,17907,661325,,,,23780,48165,0,0
785,17907,661326,,,,23780,48165,0,0
785,17907,661327,,,,23780,48165,0,0
785,17907,661328,,,,23780,48165,0,0
785,48152.124663,671379,,,,23718,48165,0,0
785,48152.124663,671380,,,,23718,48165,0,0
785,48152.124663,671381,,,,23718,48165,0,0
785,48152.124663,671382,,,,23718,48165,0,0
785,48152.124663,671383,,,,23718,48165,0,0
785,48686.126106,671403,,,,23781,48165,0,0
785,48686.126106,671404,,,,23781,48165,0,0
785,48686.126106,671405,,,,23781,48165,0,0
785,48686.126106,671406,,,,23781,48165,0,0
785,48686.126106,671407,,,,23781,48165,0,0
785,48686.126106,671408,,,,23781,48165,0,0
785,48686.126106,671409,,,,23781,48165,0,0
785,48686.126106,671423,,,,23781,48165,0,0
790,48152.124663,661290,,,,23271,48166,0,0
790,48152.124663,661291,,,,23271,48166,0,0
790,48152.124663,661292,,,,23271,48166,0,0
790,48152.124663,661293,,,,23271,48166,0,0
790,48152.124663,661294,,,,23271,48166,0,0
790,48152.124663,661295,,,,23271,48166,0,0
790,48152.124663,661296,,,,23271,48166,0,0
790,48152.124663,661297,,,,23271,48166,0,0
790,48152.124663,661298,,,,23271,48166,0,0
790,48152.124663,661299,,,,23271,48166,0,0
790,48152.124663,661300,,,,23271,48166,0,0
790,48152.124663,661301,,,,23271,48166,0,0
790,48152.124663,661302,,,,23271,48166,0,0
790,48152.124663,661303,,,,23271,48166,0,0
790,48152.124663,661304,,,,23271,48166,0,0
790,48152.124663,661305,,,,23271,48166,0,0
790,48152.124663,661306,,,,23271,48166,0,0
790,48152.124663,670178,,,,23713,48166,0,0
